LAT-LI,LON-LI,YEAR,MO,DY,T-MAX_LI,T-MIN_LI,RH-LI,T-LI
6.45471,3.38921,1983,12,28,28.05,23.08,57.61,25.3
6.45471,3.38921,1983,12,29,28.12,23.92,65.71,25.8
6.45471,3.38921,1983,12,30,28.93,24.68,70.3,26.49
6.45471,3.38921,1983,12,31,28.64,25.05,76.09,26.56
6.45471,3.38921,1984,1,1,28.46,24.74,76.99,26.26
6.45471,3.38921,1984,1,2,29.34,24.38,63.62,26.62
6.45471,3.38921,1984,1,3,29.24,23.55,59.51,26.26
6.45471,3.38921,1984,1,4,28.92,23.72,59.11,26.21
6.45471,3.38921,1984,1,5,29.89,24.71,61.57,26.9
6.45471,3.38921,1984,1,6,29.16,24.57,76.26,26.66
6.45471,3.38921,1984,1,7,28.59,25.28,78.55,26.6
6.45471,3.38921,1984,1,8,29.04,24.81,75.92,26.63
6.45471,3.38921,1984,1,9,28.66,25.35,77.55,26.67
6.45471,3.38921,1984,1,10,28.79,25.3,78.83,26.7
6.45471,3.38921,1984,1,11,29.35,25.35,77.96,26.93
6.45471,3.38921,1984,1,12,29.2,25.21,78.5,26.92
6.45471,3.38921,1984,1,13,29.38,25.37,77.59,27.06
6.45471,3.38921,1984,1,14,29.1,25.47,76.5,26.95
6.45471,3.38921,1984,1,15,28.94,25.6,74.04,26.97
6.45471,3.38921,1984,1,16,28.59,23.81,54.68,26
6.45471,3.38921,1984,1,17,28.96,23.77,54.95,25.9
6.45471,3.38921,1984,1,18,28.9,23.16,53.37,25.76
6.45471,3.38921,1984,1,19,28.36,23.2,55.64,25.59
6.45471,3.38921,1984,1,20,28.69,23.37,62.25,25.72
6.45471,3.38921,1984,1,21,28.87,24.3,73.63,26.27
6.45471,3.38921,1984,1,22,28.96,24.43,75.72,26.28
6.45471,3.38921,1984,1,23,29.98,24.42,68.27,26.69
6.45471,3.38921,1984,1,24,29.12,24.42,69.39,26.55
6.45471,3.38921,1984,1,25,29.7,24.63,69.76,26.74
6.45471,3.38921,1984,1,26,29.31,24.92,68.35,26.76
6.45471,3.38921,1984,1,27,29.69,24.76,69.38,26.95
6.45471,3.38921,1984,1,28,29.76,24.89,67.31,26.96
6.45471,3.38921,1984,1,29,29.56,25.24,72.39,26.99
6.45471,3.38921,1984,1,30,28.9,25.04,77.72,26.69
6.45471,3.38921,1984,1,31,29.15,24.99,78.09,26.82
6.45471,3.38921,1984,2,1,29.57,25.35,78.53,27.21
6.45471,3.38921,1984,2,2,29.35,25.71,77.3,27.34
6.45471,3.38921,1984,2,3,29.58,25.78,76.94,27.47
6.45471,3.38921,1984,2,4,29.3,25.74,77.59,27.27
6.45471,3.38921,1984,2,5,29.62,25.61,75.46,27.09
6.45471,3.38921,1984,2,6,29.09,25.14,75.8,26.67
6.45471,3.38921,1984,2,7,29.43,24.58,64.9,26.79
6.45471,3.38921,1984,2,8,29.83,24.44,56.98,26.79
6.45471,3.38921,1984,2,9,30.32,24.95,54.82,27.2
6.45471,3.38921,1984,2,10,29.8,25.12,67.6,27.14
6.45471,3.38921,1984,2,11,29.12,25.42,75.71,27.14
6.45471,3.38921,1984,2,12,29.75,26.02,72.83,27.5
6.45471,3.38921,1984,2,13,29.44,25.49,75.91,27.19
6.45471,3.38921,1984,2,14,29.23,25.44,78.47,27.12
6.45471,3.38921,1984,2,15,29.32,25.8,80.36,27.33
6.45471,3.38921,1984,2,16,28.86,25.76,82.04,27.13
6.45471,3.38921,1984,2,17,29.43,25.85,79.67,27.44
6.45471,3.38921,1984,2,18,30.35,26.08,77.87,27.93
6.45471,3.38921,1984,2,19,29.94,26.54,78.23,27.97
6.45471,3.38921,1984,2,20,29.7,26.21,78.72,27.66
