YEAR,MO,DY,LAT,LON,T-IKO,TMIN-IKO,TMAX-IKO,RH2M-IKO
1983,11,7,6.62051,3.52061,26.8,23.85,30.66,80.64
1983,11,8,6.62051,3.52061,26.75,23.38,30.88,79.95
1983,11,9,6.62051,3.52061,26.84,23.71,30.92,78.86
1983,11,10,6.62051,3.52061,26.66,23.92,30.49,79.84
1983,11,11,6.62051,3.52061,26.36,24.09,29.77,80.94
1983,11,12,6.62051,3.52061,26.23,24.12,29.63,79.78
1983,11,13,6.62051,3.52061,26.37,23.41,30.34,78.64
1983,11,14,6.62051,3.52061,26.5,23.4,30.34,79.73
1983,11,15,6.62051,3.52061,26.52,24.2,29.77,81.48
1983,11,16,6.62051,3.52061,26.58,23.82,30.33,80.59
1983,11,17,6.62051,3.52061,26.69,23.75,30.76,79.4
1983,11,18,6.62051,3.52061,26.75,23.72,30.96,79.17
1983,11,19,6.62051,3.52061,25.96,23.79,28.97,83.66
1983,11,20,6.62051,3.52061,26.42,23.64,30.2,79.65
1983,11,21,6.62051,3.52061,26.3,23.76,29.83,79.83
1983,11,22,6.62051,3.52061,26.6,23.73,30.87,76.58
1983,11,23,6.62051,3.52061,26.66,23.69,31.01,75.63
1983,11,24,6.62051,3.52061,26.9,23.07,31.84,75.41
1983,11,25,6.62051,3.52061,26.92,23.02,31.7,76.45
1983,11,26,6.62051,3.52061,26.63,24.1,30.62,78.43
1983,11,27,6.62051,3.52061,26.77,23.13,31.35,76.62
1983,11,28,6.62051,3.52061,26.76,23.79,31.27,73.48
1983,11,29,6.62051,3.52061,26.48,23.35,30.65,75.31
1983,11,30,6.62051,3.52061,26.47,23.13,30.44,76.37
1983,12,1,6.62051,3.52061,26.19,23.76,29.58,78.76
1983,12,2,6.62051,3.52061,26.02,23.34,29.66,81.16
1983,12,3,6.62051,3.52061,25.85,23.56,29.45,82.32
1983,12,4,6.62051,3.52061,25.49,23.49,28.37,86.57
1983,12,5,6.62051,3.52061,25.42,23.35,28.4,86.16
1983,12,6,6.62051,3.52061,25.99,22.88,29.91,82.45
1983,12,7,6.62051,3.52061,26.36,23.3,30.1,80.24
1983,12,8,6.62051,3.52061,26.47,23.46,30.3,79.42
1983,12,9,6.62051,3.52061,26.48,23.47,30.47,79.84
1983,12,10,6.62051,3.52061,26.59,24.22,29.9,79.47
1983,12,11,6.62051,3.52061,26.22,23.89,29.45,81.21
1983,12,12,6.62051,3.52061,25.92,23.62,28.75,83.19
1983,12,13,6.62051,3.52061,25.88,24.02,28.54,84.51
1983,12,14,6.62051,3.52061,25.65,23.74,28.55,83.72
1983,12,15,6.62051,3.52061,25.4,23.32,28.4,83.16
1983,12,16,6.62051,3.52061,26.28,23.39,30.45,75.82
1983,12,17,6.62051,3.52061,26.48,23.67,30.19,78.26
1983,12,18,6.62051,3.52061,26.39,23.67,29.92,78.46
1983,12,19,6.62051,3.52061,26.29,23.77,29.52,80.36
1983,12,20,6.62051,3.52061,26.58,23.66,30.73,77.49
1983,12,21,6.62051,3.52061,26.62,23.18,31.11,76.55
1983,12,22,6.62051,3.52061,26.51,23.46,30.85,78.04
1983,12,23,6.62051,3.52061,26.52,23.11,31.08,77.57
1983,12,24,6.62051,3.52061,25.84,21.64,30.91,75.48
1983,12,25,6.62051,3.52061,26.05,23.03,30.58,77.53
1983,12,26,6.62051,3.52061,25.29,22.13,30.03,71.28
1983,12,27,6.62051,3.52061,24.28,19.46,30.61,58.14
1983,12,28,6.62051,3.52061,23.22,17.6,30.01,57.42
1983,12,29,6.62051,3.52061,24.5,20,30.17,67.11
1983,12,30,6.62051,3.52061,25.73,21.22,31.34,68
1983,12,31,6.62051,3.52061,26.08,22.53,31.15,71.96
1984,1,1,6.62051,3.52061,26.05,22.53,31.44,71.52
1984,1,2,6.62051,3.52061,25.07,19.96,31.55,59.34
1984,1,3,6.62051,3.52061,24.33,18.64,31.47,55.85
1984,1,4,6.62051,3.52061,24.08,18.74,30.65,55.74
1984,1,5,6.62051,3.52061,25.53,19.99,32.37,55.6
1984,1,6,6.62051,3.52061,25.86,20.53,31.98,67.2
1984,1,7,6.62051,3.52061,26.41,23.21,31.65,72.02
1984,1,8,6.62051,3.52061,26.47,22.19,32.04,71.06
1984,1,9,6.62051,3.52061,26.56,23.38,31.31,73.68
1984,1,10,6.62051,3.52061,26.69,23.15,32.06,73.07
1984,1,11,6.62051,3.52061,26.89,23.36,32.64,70.14
1984,1,12,6.62051,3.52061,26.96,22.83,32.65,71.84
1984,1,13,6.62051,3.52061,27.43,23.35,33.26,68.96
1984,1,14,6.62051,3.52061,26.72,23.79,31.16,73.3
1984,1,15,6.62051,3.52061,26.85,22.87,32.08,67.05
